student_id,student_age,student_level,student_suburb,signup_date,tutor_id,tutor_experience_years,tutor_rating,tutor_suburb,tutor_subject_specialty,tutor_hourly_rate,session_id,subject,session_date,session_duration_hours,session_mode,session_price,booking_lead_time_days,session_status,student_rating_given,repeat_student,discount_applied
S2840,19,University,Bondi Junction,2024-05-29,T566,11,3.8,Rose Bay,Math,59.17,SESS26,Math,2025-04-12,2.5,Online,148.66,11,Completed,3.0,No,0
S2805,7,Primary,Burwood,2024-01-07,T622,0,4.3,Campbelltown,Coding,54.69,SESS27,Coding,2024-05-23,2.0,Online,111.97,2,Completed,,No,0
S1408,28,Adult Learner,Epping,2023-07-10,T671,2,5.0,Auburn,English,35.08,SESS28,English,2024-01-31,3.0,In-person,103.55,5,Completed,,No,0
S2391,27,Adult Learner,Maroubra,2023-03-09,T749,7,3.7,Liverpool,Business,70.14,SESS29,Business,2024-01-01,1.5,In-person,112.09,4,Completed,2.0,No,0
S1893,13,High School,Auburn,2025-06-11,T723,5,4.4,Paddington,Math,53.91,SESS30,Math,2025-06-12,0.5,Online,25.29,8,Cancelled,3.0,No,0
S1745,10,Primary,Rose Bay,2023-04-12,T641,6,4.4,Campbelltown,Physics,63.25,SESS31,Physics,2023-09-13,3.0,Online,193.04,8,Completed,3.0,Yes,5
S1861,49,Adult Learner,Castle Hill,2024-07-04,T588,5,4.4,Hurstville,Chemistry,56.43,SESS32,Chemistry,2025-04-11,1.5,In-person,92.54,13,Completed,4.0,Yes,0
S1952,34,Adult Learner,Wollstonecraft,2023-01-10,T652,1,4.6,Castle Hill,Physics,47.13,SESS33,Physics,2023-12-14,3.0,Online,146.95,1,Completed,5.0,No,30
S2377,20,University,St Leonards,2024-10-22,T517,2,4.8,Ryde,Math,46.06,SESS34,Math,2025-08-31,1.0,In-person,47.95,13,Completed,5.0,No,0
S2012,21,University,Sydney CBD,2025-01-27,T609,4,3.9,Mosman,Math,43.55,SESS35,Math,2025-05-20,0.5,Online,20.89,2,Cancelled,4.0,No,0
S2878,35,Adult Learner,Sydney CBD,2024-02-27,T324,6,4.4,Bondi Junction,Coding,76.14,SESS36,Coding,2024-10-11,2.5,In-person,190.47,9,Cancelled,5.0,Yes,0
S2837,53,Adult Learner,Ultimo,2023-10-28,T362,4,5.0,Wollstonecraft,English,46.13,SESS37,English,2024-07-21,1.0,In-person,44.15,7,Completed,3.0,Yes,10
S1654,11,Primary,Sydney CBD,2024-02-10,T753,6,4.2,Auburn,English,50.57,SESS38,English,2024-03-14,1.0,In-person,51.77,6,Completed,4.0,Yes,15
S2853,50,Adult Learner,Parramatta,2024-07-21,T798,2,3.5,Paddington,Physics,51.77,SESS39,Physics,2024-12-21,0.5,Online,26.99,12,Completed,4.0,No,0
S1999,23,University,Newtown,2025-01-13,T424,1,4.4,Blacktown,Physics,53.93,SESS40,Physics,2025-04-08,3.0,Online,154.64,13,Completed,,No,15
S1171,14,High School,Ultimo,2024-07-15,T638,5,4.3,Hurstville,Math,44.29,SESS41,Math,2024-11-01,2.0,In-person,90.16,7,Completed,5.0,Yes,0
S1516,36,Adult Learner,Parramatta,2023-05-07,T283,8,4.8,Hornsby,Math,49.11,SESS42,Math,2024-04-04,1.5,Online,70.21,1,Completed,5.0,No,0
S2718,45,Adult Learner,Chatswood,2023-07-27,T220,6,4.6,Penrith,Physics,81.26,SESS43,Physics,2024-03-22,0.5,Online,41.79,11,Completed,5.0,No,0
S2592,25,University,Sydney CBD,2024-07-18,T367,7,4.6,Blacktown,Business,67.42,SESS44,Business,2025-02-07,2.5,In-person,174.95,11,Completed,3.0,No,25
S2741,56,Adult Learner,Mosman,2024-12-23,T323,4,4.1,Sydney CBD,Physics,58.41,SESS45,Physics,2025-01-28,2.0,In-person,130.34,8,Completed,,Yes,0
S2967,46,Adult Learner,Darlinghurst,2023-04-03,T570,0,4.6,Bondi Junction,Coding,51.94,SESS46,Coding,2023-12-27,2.0,In-person,101.43,10,Completed,5.0,Yes,0
S2691,26,Adult Learner,Redfern,2023-09-19,T474,5,3.8,Bondi,English,41.42,SESS47,English,2024-05-14,2.0,In-person,85.65,9,Completed,3.0,No,30
S1372,19,University,Bankstown,2023-10-08,T699,5,4.3,Surry Hills,Physics,56.74,SESS48,Physics,2024-07-19,2.5,Online,157.06,0,Completed,,Yes,0
S2414,47,Adult Learner,Fairfield,2024-05-03,T687,6,3.3,Wollstonecraft,Coding,72.93,SESS49,Coding,2024-08-25,0.5,In-person,35.26,6,Completed,5.0,No,0
S2133,28,Adult Learner,Surry Hills,2025-03-01,T743,2,4.2,St Leonards,English,41.52,SESS50,English,2025-07-18,3.0,Online,129.95,4,Completed,,Yes,20
S1392,53,Adult Learner,Cronulla,2024-06-11,T421,1,4.1,Redfern,Business,54.63,SESS51,Business,2024-08-02,2.5,Online,132.11,13,Completed,5.0,Yes,20
S1561,9,Primary,North Sydney,2025-08-10,T246,6,3.7,Mosman,Business,71.59,SESS52,Business,2025-10-02,3.0,In-person,237.56,13,Completed,5.0,No,0
S1377,22,University,Rose Bay,2024-07-22,T252,0,4.1,Fairfield,Math,46.33,SESS53,Math,2025-03-31,0.5,In-person,22.35,1,Completed,4.0,Yes,0
S1174,13,High School,Lane Cove,2023-07-14,T454,7,3.8,Leichhardt,Physics,63.7,SESS54,Physics,2024-04-07,2.5,In-person,133.44,6,Completed,3.0,No,0
S1625,45,Adult Learner,Blacktown,2023-10-24,T782,4,3.7,Randwick,Business,71.16,SESS55,Business,2024-03-08,1.0,Online,66.07,10,Completed,4.0,No,0
S1005,34,Adult Learner,Bondi Junction,2023-08-17,T618,5,5.0,Fairfield,English,37.82,SESS56,English,2024-08-13,1.0,Online,40.02,4,Completed,4.0,No,0
S1870,40,Adult Learner,Randwick,2023-04-26,T317,2,4.5,Ryde,Business,60.0,SESS57,Business,2023-05-27,1.0,In-person,58.2,2,Completed,4.0,No,0
S1254,50,Adult Learner,Epping,2025-02-25,T679,3,4.4,Ashfield,Business,64.31,SESS58,Business,2025-10-08,2.5,Online,173.52,1,Completed,3.0,No,0
S1187,49,Adult Learner,Paddington,2023-09-13,T434,11,3.3,Paddington,Chemistry,71.24,SESS59,Chemistry,2024-07-05,0.5,In-person,36.67,0,Completed,,No,0
S2876,17,High School,Mosman,2022-11-07,T484,5,4.0,Marrickville,Physics,58.96,SESS60,Physics,2023-07-06,2.0,In-person,115.01,5,Completed,3.0,No,5
S1843,24,University,Wollstonecraft,2022-07-27,T707,7,4.5,Ashfield,Business,65.54,SESS61,Business,2023-03-17,2.5,Online,171.22,1,Completed,4.0,No,0
S2346,35,Adult Learner,Mascot,2024-11-30,T755,7,4.6,Strathfield,Chemistry,59.86,SESS62,Chemistry,2025-10-17,2.5,In-person,145.46,7,Completed,5.0,Yes,0
S2803,13,High School,Parramatta,2023-06-14,T696,6,4.3,Kingsford,Physics,62.59,SESS63,Physics,2023-11-21,1.0,Online,66.59,8,Completed,3.0,Yes,0
S1945,47,Adult Learner,Paddington,2024-11-11,T320,6,4.2,Granville,Business,65.91,SESS64,Business,2025-11-08,1.5,Online,104.3,4,Completed,5.0,Yes,0
S1785,44,Adult Learner,Kogarah,2024-11-05,T395,7,5.0,Penrith,Business,69.11,SESS65,Business,2025-04-29,1.5,In-person,107.2,14,Completed,4.0,Yes,0
S2772,34,Adult Learner,North Sydney,2024-06-22,T352,5,4.2,North Sydney,English,45.48,SESS66,English,2025-02-11,2.5,Online,117.08,14,Completed,,No,0
S2753,8,Primary,Hurstville,2024-03-26,T620,2,5.0,Fairfield,Chemistry,48.97,SESS67,Chemistry,2025-03-01,2.0,In-person,91.99,12,Cancelled,5.0,Yes,20
S2781,60,Adult Learner,Newtown,2023-03-27,T302,7,4.6,Baulkham Hills,Business,72.14,SESS68,Business,2023-10-23,0.5,In-person,36.05,13,Completed,,Yes,0
S2276,47,Adult Learner,Blacktown,2024-09-07,T607,2,4.3,Campbelltown,Business,55.61,SESS69,Business,2025-02-17,2.5,Online,145.8,10,Completed,4.0,No,0
S2292,20,University,Castle Hill,2022-12-09,T494,2,4.1,Marrickville,Business,61.06,SESS70,Business,2023-07-25,3.0,In-person,178.02,2,Completed,3.0,Yes,0
S1734,33,Adult Learner,Sydney CBD,2023-10-08,T583,5,4.4,Baulkham Hills,Physics,57.47,SESS71,Physics,2024-01-04,3.0,Online,168.35,2,Completed,4.0,No,20
S1475,46,Adult Learner,Penrith,2023-08-31,T672,0,3.6,Surry Hills,Coding,56.41,SESS72,Coding,2024-08-12,2.0,In-person,111.62,8,Completed,4.0,No,0
S2308,50,Adult Learner,Liverpool,2025-07-23,T634,9,4.7,Cronulla,English,52.2,SESS73,English,2025-09-16,2.0,Online,104.3,3,Completed,3.0,Yes,0
S2699,23,University,Parramatta,2025-05-20,T605,4,4.2,Double Bay,Coding,69.61,SESS74,Coding,2025-10-14,0.5,In-person,33.37,12,Completed,5.0,Yes,0
S2388,46,Adult Learner,Blacktown,2025-06-03,T340,9,4.2,Kingsford,Chemistry,70.01,SESS75,Chemistry,2025-06-21,1.5,In-person,108.64,9,Completed,,No,0
S1359,14,High School,Hornsby,2023-07-24,T405,3,4.4,Lane Cove,English,41.06,SESS76,English,2023-12-03,1.5,In-person,61.89,14,Cancelled,3.0,No,0
S2647,35,Adult Learner,Double Bay,2024-06-11,T317,5,4.5,Ryde,Coding,77.26,SESS77,Coding,2025-03-24,1.0,In-person,80.97,5,Completed,5.0,Yes,10
S2197,58,Adult Learner,Marrickville,2025-08-10,T590,2,4.7,Lane Cove,Math,44.92,SESS78,Math,2025-08-23,1.0,In-person,49.84,9,Cancelled,3.0,No,0
S2862,47,Adult Learner,Mascot,2024-01-06,T509,2,4.0,Penrith,Math,33.38,SESS79,Math,2024-09-15,0.5,In-person,16.25,1,Completed,3.0,No,15
S2373,32,Adult Learner,Dee Why,2022-11-13,T753,5,4.5,Ryde,Business,74.38,SESS80,Business,2023-07-22,3.0,In-person,233.74,9,Completed,3.0,Yes,0
S1910,60,Adult Learner,Bankstown,2024-12-03,T441,2,4.5,Double Bay,Physics,47.4,SESS81,Physics,2025-01-04,3.0,Online,155.22,6,Completed,5.0,No,0
S2357,47,Adult Learner,Marrickville,2024-03-09,T417,3,3.4,Blacktown,Math,52.77,SESS82,Math,2024-05-13,1.5,Online,78.7,12,Completed,,No,0
S2200,58,Adult Learner,Ultimo,2022-08-17,T421,8,3.5,Campbelltown,Coding,73.0,SESS83,Coding,2023-01-06,2.5,Online,182.55,13,No-show,4.0,No,0
S1225,14,High School,Parramatta,2023-08-09,T226,3,4.6,Mascot,Physics,50.66,SESS84,Physics,2023-12-23,0.5,In-person,25.15,0,Completed,4.0,Yes,15
S2051,34,Adult Learner,Kogarah,2025-07-01,T311,6,4.7,Darlinghurst,Math,46.38,SESS85,Math,2025-12-03,3.0,In-person,128.47,7,Completed,,No,0
S2405,37,Adult Learner,Fairfield,2023-12-14,T310,8,4.5,Wollstonecraft,Math,52.26,SESS86,Math,2024-10-21,0.5,In-person,28.16,2,Completed,4.0,No,0
S1780,24,University,Newtown,2022-09-21,T743,8,4.3,Ultimo,Chemistry,76.3,SESS87,Chemistry,2023-08-23,3.0,Online,248.99,10,Cancelled,4.0,No,0
S1847,58,Adult Learner,Newtown,2024-12-14,T547,7,4.6,Leichhardt,Coding,80.84,SESS88,Coding,2025-05-24,1.5,Online,115.41,10,Completed,5.0,No,0
S2703,11,Primary,Surry Hills,2022-07-06,T287,8,3.4,Lane Cove,Coding,70.08,SESS89,Coding,2023-05-03,2.5,In-person,157.34,8,Completed,4.0,No,0
S2777,24,University,Ashfield,2023-12-22,T252,7,5.0,North Sydney,Math,54.37,SESS90,Math,2024-03-11,2.5,Online,146.99,10,Completed,3.0,Yes,0
S2561,42,Adult Learner,Randwick,2022-04-17,T485,0,4.3,Marrickville,Business,56.92,SESS91,Business,2023-02-23,2.5,In-person,142.07,14,Completed,2.0,Yes,30
S2887,28,Adult Learner,Parramatta,2023-03-11,T547,4,3.6,Ryde,Chemistry,61.35,SESS92,Chemistry,2023-05-23,2.0,Online,124.95,11,Completed,,No,0
S1770,35,Adult Learner,Strathfield,2023-05-27,T629,2,4.0,Lane Cove,English,33.7,SESS93,English,2023-06-23,1.5,In-person,50.39,2,Completed,5.0,No,0
S1907,37,Adult Learner,Ashfield,2023-02-26,T634,2,4.6,Leichhardt,English,36.35,SESS94,English,2023-08-22,2.5,In-person,87.27,6,Completed,4.0,Yes,0
S1093,31,Adult Learner,Mosman,2023-12-28,T425,1,4.0,Chatswood,Math,36.01,SESS95,Math,2024-03-08,1.5,In-person,59.32,12,Completed,4.0,No,25
S1359,30,Adult Learner,Campbelltown,2024-11-19,T332,2,4.4,Auburn,Chemistry,53.44,SESS96,Chemistry,2024-12-26,3.0,In-person,158.55,6,Cancelled,,Yes,0
S2179,42,Adult Learner,Mascot,2025-03-29,T639,6,4.7,Kingsford,Physics,59.35,SESS97,Physics,2025-04-09,0.5,In-person,28.82,5,Completed,4.0,Yes,0
S1180,60,Adult Learner,Sydney CBD,2022-11-20,T647,0,3.5,Marrickville,Chemistry,56.83,SESS98,Chemistry,2023-06-11,2.5,Online,153.76,13,Completed,4.0,No,0
S1156,46,Adult Learner,Sydney CBD,2024-01-24,T722,6,4.5,Castle Hill,English,62.39,SESS99,English,2024-12-20,1.5,Online,98.82,13,Completed,,Yes,5
S1362,35,Adult Learner,Castle Hill,2023-12-06,T705,4,3.8,Redfern,Physics,49.97,SESS100,Physics,2024-10-23,2.5,In-person,126.2,5,Completed,,No,0
S2630,43,Adult Learner,Blacktown,2025-06-24,T481,2,3.6,Castle Hill,Math,40.77,SESS101,Math,2025-07-14,2.0,Online,77.13,0,Completed,5.0,No,0
S2259,30,Adult Learner,Manly,2022-08-07,T719,7,4.3,St Leonards,Business,76.4,SESS102,Business,2023-03-26,3.0,Online,230.09,14,Cancelled,3.0,Yes,0
S2961,34,Adult Learner,Sydney CBD,2024-12-03,T263,9,4.6,Campbelltown,Business,67.81,SESS103,Business,2025-10-30,0.5,Online,33.58,2,Completed,3.0,No,0
S1745,24,University,Auburn,2024-10-13,T581,0,4.8,Campbelltown,Coding,69.55,SESS104,Coding,2024-11-16,0.5,Online,32.34,5,Completed,5.0,Yes,0
S1682,43,Adult Learner,Wollstonecraft,2025-01-05,T283,3,4.1,North Sydney,English,38.04,SESS105,English,2025-03-13,3.0,In-person,109.19,9,Completed,,Yes,0
S2665,48,Adult Learner,Fairfield,2024-08-29,T330,5,3.9,Double Bay,Business,66.35,SESS106,Business,2025-05-17,0.5,In-person,33.09,5,Completed,4.0,No,0
S2940,18,High School,Randwick,2022-11-09,T697,2,4.0,Penrith,Math,47.78,SESS107,Math,2023-07-27,1.5,In-person,73.47,12,Completed,3.0,No,0
S2794,44,Adult Learner,Auburn,2023-04-25,T334,5,4.7,Epping,English,36.65,SESS108,English,2023-12-06,3.0,In-person,112.94,0,Completed,3.0,Yes,0
S2540,20,University,Campbelltown,2023-07-28,T659,6,3.9,Cronulla,Business,57.98,SESS109,Business,2024-02-02,2.0,In-person,106.52,10,Cancelled,4.0,No,0
S2593,38,Adult Learner,Campbelltown,2023-06-04,T591,5,3.8,Epping,Coding,73.19,SESS110,Coding,2023-10-11,2.5,Online,167.77,0,Completed,4.0,No,0
S2456,60,Adult Learner,Sydney CBD,2024-10-19,T728,1,4.0,Bondi,Coding,62.24,SESS111,Coding,2025-07-09,1.5,In-person,89.34,2,Cancelled,,No,0
S2811,7,Primary,Surry Hills,2025-01-18,T557,3,4.8,Ashfield,English,38.12,SESS112,English,2025-03-01,1.0,In-person,39.71,5,Completed,3.0,Yes,0
S2620,14,High School,Parramatta,2024-12-31,T349,6,5.0,Fairfield,Chemistry,49.64,SESS113,Chemistry,2025-08-18,1.0,In-person,47.66,9,Completed,,Yes,0
S1227,21,University,Epping,2025-06-22,T495,6,4.2,Chatswood,English,48.86,SESS114,English,2025-07-25,3.0,Online,142.15,1,Cancelled,4.0,Yes,0
S2471,24,University,Surry Hills,2025-01-27,T347,4,4.9,Darlinghurst,Physics,59.27,SESS115,Physics,2025-05-03,2.5,Online,150.68,10,Completed,4.0,Yes,0
S1799,8,Primary,Leichhardt,2024-11-27,T681,3,4.1,Lane Cove,Math,47.97,SESS116,Math,2025-01-01,0.5,In-person,23.48,5,Completed,4.0,Yes,0
S1273,28,Adult Learner,North Sydney,2024-08-17,T245,11,4.7,Maroubra,English,55.37,SESS117,English,2025-08-09,3.0,In-person,176.09,7,Completed,4.0,Yes,0
S1075,18,High School,Parramatta,2024-01-07,T500,0,3.8,Strathfield,Coding,50.65,SESS118,Coding,2024-09-27,1.5,Online,74.64,6,No-show,4.0,No,30
S1585,55,Adult Learner,Parramatta,2024-06-13,T565,10,4.5,Maroubra,English,53.9,SESS119,English,2025-01-23,0.5,Online,28.07,14,Completed,2.0,No,0
S2016,29,Adult Learner,Maroubra,2025-04-08,T709,5,4.7,Baulkham Hills,English,37.61,SESS120,English,2025-05-19,0.5,Online,19.88,6,Completed,4.0,Yes,0
S1671,25,University,Newtown,2024-05-05,T502,3,4.6,Marrickville,English,52.35,SESS121,English,2024-12-20,2.0,Online,105.65,0,Completed,4.0,No,0
S1153,29,Adult Learner,Kogarah,2022-12-12,T615,3,3.9,Double Bay,Math,50.15,SESS122,Math,2023-10-20,0.5,In-person,24.0,10,Completed,,No,30
S1741,42,Adult Learner,Parramatta,2024-06-17,T592,5,4.1,Ryde,Coding,72.39,SESS123,Coding,2025-01-31,1.5,In-person,110.4,12,Completed,,Yes,0
S1511,7,Primary,Granville,2023-04-17,T316,8,4.0,Granville,English,49.65,SESS124,English,2023-08-30,2.5,In-person,118.05,12,Completed,4.0,No,0
S2421,18,High School,Sydney CBD,2025-05-16,T702,6,4.7,Burwood,English,42.39,SESS125,English,2025-06-30,3.0,Online,132.7,12,Completed,5.0,Yes,0
S2126,24,University,Darlinghurst,2023-06-20,T755,6,5.0,Epping,Coding,68.13,SESS126,Coding,2023-12-23,3.0,Online,191.67,8,Completed,2.0,No,15
S1739,42,Adult Learner,Bankstown,2022-12-07,T767,9,4.6,St Leonards,Math,57.72,SESS127,Math,2023-05-15,0.5,Online,29.26,6,No-show,3.0,Yes,0
S1256,47,Adult Learner,Blacktown,2022-12-11,T524,12,4.4,Bondi Junction,Coding,84.55,SESS128,Coding,2023-09-20,1.5,Online,131.43,10,Completed,4.0,Yes,0
S2702,39,Adult Learner,Chatswood,2023-10-11,T327,5,3.9,Epping,Math,52.36,SESS129,Math,2024-04-06,3.0,In-person,171.86,8,Cancelled,5.0,No,25
S1256,45,Adult Learner,Campbelltown,2023-08-16,T510,9,4.0,Castle Hill,Chemistry,63.05,SESS130,Chemistry,2023-11-12,2.5,Online,156.63,10,Completed,4.0,No,0
S2690,11,Primary,Parramatta,2023-05-19,T229,8,3.5,Maroubra,Chemistry,73.65,SESS131,Chemistry,2024-03-07,1.5,In-person,109.6,6,Completed,,No,0
S2314,36,Adult Learner,Liverpool,2022-06-11,T509,3,3.8,Double Bay,Physics,47.73,SESS132,Physics,2023-05-30,2.0,In-person,99.39,0,Completed,4.0,No,0
S2242,26,Adult Learner,Ultimo,2025-01-19,T347,1,3.7,Kogarah,Coding,60.32,SESS133,Coding,2025-03-27,1.5,In-person,98.03,12,Completed,4.0,No,0
S1250,34,Adult Learner,Liverpool,2024-12-29,T473,0,4.2,Randwick,Math,38.64,SESS134,Math,2025-05-06,2.0,Online,66.86,13,Cancelled,4.0,No,0
S2562,37,Adult Learner,Mosman,2025-10-03,T363,4,4.6,Bondi Junction,Physics,67.24,SESS135,Physics,2025-10-15,1.5,Online,106.54,1,Cancelled,4.0,No,10
S1103,37,Adult Learner,Ashfield,2022-11-22,T488,1,5.0,Maroubra,Coding,62.3,SESS136,Coding,2023-01-17,1.5,Online,93.52,6,Completed,4.0,Yes,0
S1820,42,Adult Learner,Lane Cove,2024-06-16,T252,5,4.2,Lane Cove,Chemistry,57.13,SESS137,Chemistry,2025-03-02,0.5,Online,27.78,7,Completed,4.0,No,0
S1263,31,Adult Learner,Bankstown,2023-07-13,T299,3,3.9,Campbelltown,Chemistry,56.53,SESS138,Chemistry,2023-10-23,1.5,In-person,83.71,9,Completed,5.0,No,5
S2646,39,Adult Learner,Manly,2023-12-24,T685,0,4.8,Ultimo,Business,61.23,SESS139,Business,2024-11-02,1.0,In-person,54.88,5,Completed,4.0,No,10
S2451,25,University,Cronulla,2023-01-11,T776,3,3.6,Blacktown,Physics,52.11,SESS140,Physics,2023-08-13,3.0,Online,147.65,9,Completed,5.0,No,0
S2222,22,University,Double Bay,2022-06-21,T685,7,4.9,Redfern,Coding,77.61,SESS141,Coding,2023-04-16,3.0,Online,219.69,7,Completed,3.0,No,0
S2682,8,Primary,Lane Cove,2025-01-12,T448,6,3.7,Mosman,Math,55.56,SESS142,Math,2025-06-22,0.5,In-person,27.45,6,Completed,4.0,No,0
S2787,51,Adult Learner,Sydney CBD,2024-12-10,T263,7,4.5,Bankstown,Chemistry,62.2,SESS143,Chemistry,2025-09-06,3.0,In-person,197.42,6,Completed,,No,0
S2384,45,Adult Learner,Cronulla,2023-11-04,T470,1,4.6,Mascot,English,39.97,SESS144,English,2024-04-05,1.5,In-person,59.03,12,Completed,4.0,No,0
S2147,24,University,Sydney CBD,2024-09-23,T480,1,4.8,Double Bay,Chemistry,51.08,SESS145,Chemistry,2024-12-07,2.0,In-person,99.49,4,Completed,5.0,Yes,0
S2530,19,University,Bondi,2024-04-30,T690,2,3.6,Hornsby,English,31.22,SESS146,English,2024-07-10,2.5,Online,80.41,1,Completed,3.0,No,25
S2306,9,Primary,Blacktown,2023-10-06,T438,10,3.3,Campbelltown,Chemistry,78.48,SESS147,Chemistry,2023-10-09,0.5,In-person,39.65,8,No-show,,No,0
S1977,54,Adult Learner,Double Bay,2022-08-03,T404,4,4.0,Kogarah,English,45.0,SESS148,English,2023-07-03,0.5,Online,22.46,9,Completed,5.0,No,0
S2870,32,Adult Learner,Darlinghurst,2024-07-13,T379,5,4.4,Hurstville,Business,63.18,SESS149,Business,2025-03-24,0.5,Online,31.5,2,Cancelled,4.0,No,0
S1611,44,Adult Learner,Sydney CBD,2025-03-31,T781,0,3.6,Campbelltown,English,38.72,SESS150,English,2025-12-09,3.0,Online,117.15,14,Cancelled,4.0,No,0
S2656,27,Adult Learner,Chatswood,2024-01-09,T315,5,4.5,Bondi Junction,Chemistry,57.3,SESS151,Chemistry,2024-01-17,3.0,In-person,165.21,11,Completed,4.0,No,20
S2693,38,Adult Learner,Hurstville,2023-02-12,T637,2,4.5,Ashfield,Coding,55.49,SESS152,Coding,2023-10-15,1.0,In-person,58.35,5,Cancelled,,Yes,0
S2953,25,University,Dee Why,2024-01-17,T537,6,4.4,Paddington,Math,56.91,SESS153,Math,2025-01-06,3.0,In-person,184.95,3,Completed,,Yes,0
